Custom Data3;Custom Data2;Custom Data1;Iteration;Method;Distance;SP Distance;SP Factor;Time;Battery;Launched Drones;Failed Drones;Station Count;Failed Stations;Sensor Count;Failed Sensors;Visited Stations;Read Sensors;Success Factor;Message
;;;10;Optimised;3788,1;3310,9;0,874;0,0;0,0;3;0;5;0;0;0;0;0;0,0;
;;;1;Centered;2672,9;2286,1;0,855;0,0;0,0;4;0;5;0;0;0;0;0;0,0;
;;;2;Centered;3404,3;2382,5;0,700;0,0;0,0;4;0;5;0;0;0;0;0;0,0;
;;;3;Centered;3501,0;2961,1;0,846;0,0;0,0;4;0;5;0;0;0;0;0;0,0;
;;;4;Centered;2538,8;1966,6;0,775;0,0;0,0;4;0;5;0;0;0;0;0;0,0;
;;;5;Centered;2755,4;2501,7;0,908;0,0;0,0;4;0;5;0;0;0;0;0;0,0;
;;;6;Centered;3222,2;2423,8;0,752;0,0;0,0;4;0;5;0;0;0;0;0;0,0;
;;;7;Centered;3566,2;2961,9;0,831;0,0;0,0;4;0;5;0;0;0;0;0;0,0;
;;;8;Centered;2392,0;1917,4;0,802;0,0;0,0;4;0;5;0;0;0;0;0;0,0;
;;;9;Centered;2665,0;1994,3;0,748;0,0;0,0;4;0;5;0;0;0;0;0;0,0;
;;;10;Centered;2448,4;1684,2;0,688;0,0;0,0;4;0;5;0;0;0;0;0;0,0;
;;;1;Optimised;5216,4;4829,5;0,926;0,0;0,0;4;0;5;0;0;0;0;0;0,0;
;;;2;Optimised;3506,4;2484,6;0,709;0,0;0,0;4;0;5;0;0;0;0;0;0,0;
;;;3;Optimised;3029,3;2489,4;0,822;0,0;0,0;4;0;5;0;0;0;0;0;0,0;
;;;4;Optimised;2895,4;2323,2;0,802;0,0;0,0;4;0;5;0;0;0;0;0;0,0;
;;;5;Optimised;3570,0;3316,2;0,929;0,0;0,0;4;0;5;0;0;0;0;0;0,0;
;;;6;Optimised;3472,8;2674,4;0,770;0,0;0,0;4;0;5;0;0;0;0;0;0,0;
;;;7;Optimised;4141,2;3536,9;0,854;0,0;0,0;4;0;5;0;0;0;0;0;0,0;
;;;8;Optimised;2349,2;1874,6;0,798;0,0;0,0;4;0;5;0;0;0;0;0;0,0;
;;;9;Optimised;2705,2;2034,5;0,752;0,0;0,0;4;0;5;0;0;0;0;0;0,0;
;;;10;Optimised;2500,2;1736,0;0,694;0,0;0,0;4;0;5;0;0;0;0;0;0,0;
;;;1;Centered;5738,5;5738,5;1,000;0,0;0,0;5;0;5;0;0;0;0;0;0,0;
;;;2;Centered;3770,9;3770,9;1,000;0,0;0,0;5;0;5;0;0;0;0;0;0,0;
;;;3;Centered;2425,3;2425,3;1,000;0,0;0,0;5;0;5;0;0;0;0;0;0,0;
;;;4;Centered;3631,2;3631,2;1,000;0,0;0,0;5;0;5;0;0;0;0;0;0,0;
;;;5;Centered;3816,2;3816,2;1,000;0,0;0,0;5;0;5;0;0;0;0;0;0,0;
;;;6;Centered;4519,8;4519,8;1,000;0,0;0,0;5;0;5;0;0;0;0;0;0,0;
;;;7;Centered;2851,4;2851,4;1,000;0,0;0,0;5;0;5;0;0;0;0;0;0,0;
;;;8;Centered;4496,7;4496,7;1,000;0,0;0,0;5;0;5;0;0;0;0;0;0,0;
;;;9;Centered;3516,0;3516,0;1,000;0,0;0,0;5;0;5;0;0;0;0;0;0,0;
;;;10;Centered;3355,3;3355,3;1,000;0,0;0,0;5;0;5;0;0;0;0;0;0,0;
;;;1;Optimised;5632,9;5632,9;1,000;0,0;0,0;5;0;5;0;0;0;0;0;0,0;
;;;2;Optimised;4977,8;4977,8;1,000;0,0;0,0;5;0;5;0;0;0;0;0;0,0;
;;;3;Optimised;4825,3;4825,3;1,000;0,0;0,0;5;0;5;0;0;0;0;0;0,0;
;;;4;Optimised;4048,1;4048,1;1,000;0,0;0,0;5;0;5;0;0;0;0;0;0,0;
;;;5;Optimised;7828,5;7828,5;1,000;0,0;0,0;5;0;5;0;0;0;0;0;0,0;
;;;6;Optimised;5440,2;5440,2;1,000;0,0;0,0;5;0;5;0;0;0;0;0;0,0;
;;;7;Optimised;4453,4;4453,4;1,000;0,0;0,0;5;0;5;0;0;0;0;0;0,0;
;;;8;Optimised;5359,9;5359,9;1,000;0,0;0,0;5;0;5;0;0;0;0;0;0,0;
;;;9;Optimised;5978,0;5978,0;1,000;0,0;0,0;5;0;5;0;0;0;0;0;0,0;
;;;10;Optimised;8792,8;8792,8;1,000;0,0;0,0;5;0;5;0;0;0;0;0;0,0;
;;;1;Centered;2431,2;2431,2;1,000;0,0;0,0;6;0;5;0;0;0;0;0;0,0;
;;;2;Centered;4651,2;4651,2;1,000;0,0;0,0;6;0;5;0;0;0;0;0;0,0;
;;;3;Centered;4518,5;4518,5;1,000;0,0;0,0;6;0;5;0;0;0;0;0;0,0;
;;;4;Centered;4513,4;4513,4;1,000;0,0;0,0;6;0;5;0;0;0;0;0;0,0;
;;;5;Centered;2029,6;2029,6;1,000;0,0;0,0;6;0;5;0;0;0;0;0;0,0;
;;;6;Centered;4075,1;4075,1;1,000;0,0;0,0;6;0;5;0;0;0;0;0;0,0;
;;;7;Centered;4487,4;4487,4;1,000;0,0;0,0;6;0;5;0;0;0;0;0;0,0;
;;;8;Centered;4622,4;4622,4;1,000;0,0;0,0;6;0;5;0;0;0;0;0;0,0;
;;;9;Centered;2674,6;2674,6;1,000;0,0;0,0;6;0;5;0;0;0;0;0;0,0;
;;;10;Centered;1984,4;1984,4;1,000;0,0;0,0;6;0;5;0;0;0;0;0;0,0;
;;;1;Optimised;3524,4;3524,4;1,000;0,0;0,0;6;0;5;0;0;0;0;0;0,0;
;;;2;Optimised;4855,9;4855,9;1,000;0,0;0,0;6;0;5;0;0;0;0;0;0,0;
;;;3;Optimised;7293,1;7293,1;1,000;0,0;0,0;6;0;5;0;0;0;0;0;0,0;
;;;4;Optimised;5326,7;5326,7;1,000;0,0;0,0;6;0;5;0;0;0;0;0;0,0;
;;;5;Optimised;4458,6;4458,6;1,000;0,0;0,0;6;0;5;0;0;0;0;0;0,0;
;;;6;Optimised;5203,3;5203,3;1,000;0,0;0,0;6;0;5;0;0;0;0;0;0,0;
;;;7;Optimised;5203,3;5203,3;1,000;0,0;0,0;6;0;5;0;0;0;0;0;0,0;
;;;8;Optimised;5659,1;5659,1;1,000;0,0;0,0;6;0;5;0;0;0;0;0;0,0;
;;;9;Optimised;4192,8;4192,8;1,000;0,0;0,0;6;0;5;0;0;0;0;0;0,0;
;;;10;Optimised;1746,8;1746,8;1,000;0,0;0,0;6;0;5;0;0;0;0;0;0,0;
;;;1;Centered;3116,0;3116,0;1,000;0,0;0,0;7;0;5;0;0;0;0;0;0,0;
;;;2;Centered;4584,6;4584,6;1,000;0,0;0,0;7;0;5;0;0;0;0;0;0,0;
;;;3;Centered;4252,1;4252,1;1,000;0,0;0,0;7;0;5;0;0;0;0;0;0,0;
;;;4;Centered;971,2;971,2;1,000;0,0;0,0;7;0;5;0;0;0;0;0;0,0;
;;;5;Centered;4798,2;4798,2;1,000;0,0;0,0;7;0;5;0;0;0;0;0;0,0;
;;;6;Centered;4245,3;4245,3;1,000;0,0;0,0;7;0;5;0;0;0;0;0;0,0;
;;;7;Centered;2040,8;2040,8;1,000;0,0;0,0;7;0;5;0;0;0;0;0;0,0;
