Custom Data3;Custom Data2;Custom Data1;Iteration;Method;Distance;SP Distance;SP Factor;Time;Battery;Launched Drones;Failed Drones;Station Count;Failed Stations;Sensor Count;Failed Sensors;Visited Stations;Read Sensors;Success Factor;Message
;;;5;Centered;3934,2;2650,6;0,674;0,0;0,0;6;0;15;0;0;0;0;0;0,0;
;;;6;Centered;5946,9;3506,6;0,590;0,0;0,0;6;0;15;0;0;0;0;0;0,0;
;;;7;Centered;6868,7;5001,5;0,728;0,0;0,0;6;0;15;0;0;0;0;0;0,0;
;;;8;Centered;4217,1;2684,9;0,637;0,0;0,0;6;0;15;0;0;0;0;0;0,0;
;;;9;Centered;5961,8;3626,4;0,608;0,0;0,0;6;0;15;0;0;0;0;0;0,0;
;;;10;Centered;5259,9;3188,3;0,606;0,0;0,0;6;0;15;0;0;0;0;0;0,0;
;;;1;Optimised;10341,8;8612,5;0,833;0,0;0,0;6;0;15;0;0;0;0;0;0,0;
;;;2;Optimised;7072,9;4740,9;0,670;0,0;0,0;6;0;15;0;0;0;0;0;0,0;
;;;3;Optimised;7664,5;5712,6;0,745;0,0;0,0;6;0;15;0;0;0;0;0;0,0;
;;;4;Optimised;5491,9;3480,1;0,634;0,0;0,0;6;0;15;0;0;0;0;0;0,0;
;;;5;Optimised;4151,5;2867,9;0,691;0,0;0,0;6;0;15;0;0;0;0;0;0,0;
;;;6;Optimised;8135,5;5695,2;0,700;0,0;0,0;6;0;15;0;0;0;0;0;0,0;
;;;7;Optimised;8103,0;6235,9;0,770;0,0;0,0;6;0;15;0;0;0;0;0;0,0;
;;;8;Optimised;4881,0;3348,8;0,686;0,0;0,0;6;0;15;0;0;0;0;0;0,0;
;;;9;Optimised;6082,7;3747,2;0,616;0,0;0,0;6;0;15;0;0;0;0;0;0,0;
;;;10;Optimised;5728,8;3657,2;0,638;0,0;0,0;6;0;15;0;0;0;0;0;0,0;
;;;1;Centered;5972,4;3962,2;0,663;0,0;0,0;7;0;15;0;0;0;0;0;0,0;
;;;2;Centered;5968,5;3945,3;0,661;0,0;0,0;7;0;15;0;0;0;0;0;0,0;
