Custom Data3;Custom Data2;Custom Data1;Iteration;Method;Distance;SP Distance;SP Factor;Time;Battery;Launched Drones;Failed Drones;Station Count;Failed Stations;Sensor Count;Failed Sensors;Visited Stations;Read Sensors;Success Factor;Message
;;;1;Centered;2090,8;405,5;0,194;0,0;0,0;1;0;5;0;0;0;0;0;0,0;
;;;2;Centered;2153,2;981,2;0,456;0,0;0,0;1;0;5;0;0;0;0;0;0,0;
;;;3;Centered;2242,7;539,4;0,240;0,0;0,0;1;0;5;0;0;0;0;0;0,0;
;;;4;Centered;1823,5;908,1;0,498;0,0;0,0;1;0;5;0;0;0;0;0;0,0;
;;;5;Centered;3014,1;1390,9;0,461;0,0;0,0;1;0;5;0;0;0;0;0;0,0;
;;;6;Centered;2561,2;463,3;0,181;0,0;0,0;1;0;5;0;0;0;0;0;0,0;
;;;7;Centered;2728,4;443,6;0,163;0,0;0,0;1;0;5;0;0;0;0;0;0,0;
;;;8;Centered;1845,2;295,6;0,160;0,0;0,0;1;0;5;0;0;0;0;0;0,0;
;;;9;Centered;2235,5;1056,3;0,473;0,0;0,0;1;0;5;0;0;0;0;0;0,0;
;;;10;Centered;1383,4;385,8;0,279;0,0;0,0;1;0;5;0;0;0;0;0;0,0;
;;;1;Optimised;2593,4;908,0;0,350;0,0;0,0;1;0;5;0;0;0;0;0;0,0;
;;;2;Optimised;2158,7;986,7;0,457;0,0;0,0;1;0;5;0;0;0;0;0;0,0;
;;;3;Optimised;2398,6;695,2;0,290;0,0;0,0;1;0;5;0;0;0;0;0;0,0;
;;;4;Optimised;2169,2;1253,8;0,578;0,0;0,0;1;0;5;0;0;0;0;0;0,0;
;;;5;Optimised;3116,0;1492,7;0,479;0,0;0,0;1;0;5;0;0;0;0;0;0,0;
;;;6;Optimised;2567,5;469,7;0,183;0,0;0,0;1;0;5;0;0;0;0;0;0,0;
;;;7;Optimised;2730,0;445,2;0,163;0,0;0,0;1;0;5;0;0;0;0;0;0,0;
;;;8;Optimised;2434,6;885,0;0,364;0,0;0,0;1;0;5;0;0;0;0;0;0,0;
;;;9;Optimised;2283,9;1104,7;0,484;0,0;0,0;1;0;5;0;0;0;0;0;0,0;
;;;10;Optimised;1807,7;810,1;0,448;0,0;0,0;1;0;5;0;0;0;0;0;0,0;
;;;1;Centered;2884,2;1539,5;0,534;0,0;0,0;2;0;5;0;0;0;0;0;0,0;
;;;2;Centered;1970,7;889,9;0,452;0,0;0,0;2;0;5;0;0;0;0;0;0,0;
;;;3;Centered;2346,3;1144,6;0,488;0,0;0,0;2;0;5;0;0;0;0;0;0,0;
;;;4;Centered;2228,8;1324,5;0,594;0,0;0,0;2;0;5;0;0;0;0;0;0,0;
;;;5;Centered;1760,3;1054,7;0,599;0,0;0,0;2;0;5;0;0;0;0;0;0,0;
;;;6;Centered;1487,4;806,3;0,542;0,0;0,0;2;0;5;0;0;0;0;0;0,0;
;;;7;Centered;1748,1;989,0;0,566;0,0;0,0;2;0;5;0;0;0;0;0;0,0;
;;;8;Centered;1984,1;1337,2;0,674;0,0;0,0;2;0;5;0;0;0;0;0;0,0;
;;;9;Centered;2716,6;2175,4;0,801;0,0;0,0;2;0;5;0;0;0;0;0;0,0;
;;;10;Centered;2804,1;1437,0;0,512;0,0;0,0;2;0;5;0;0;0;0;0;0,0;
;;;1;Optimised;3140,0;1795,3;0,572;0,0;0,0;2;0;5;0;0;0;0;0;0,0;
;;;2;Optimised;2586,0;1505,3;0,582;0,0;0,0;2;0;5;0;0;0;0;0;0,0;
;;;3;Optimised;3108,3;1906,6;0,613;0,0;0,0;2;0;5;0;0;0;0;0;0,0;
;;;4;Optimised;3126,3;2221,9;0,711;0,0;0,0;2;0;5;0;0;0;0;0;0,0;
;;;5;Optimised;2206,1;1500,6;0,680;0,0;0,0;2;0;5;0;0;0;0;0;0,0;
;;;6;Optimised;3035,7;2354,6;0,776;0,0;0,0;2;0;5;0;0;0;0;0;0,0;
;;;7;Optimised;3599,4;2840,3;0,789;0,0;0,0;2;0;5;0;0;0;0;0;0,0;
;;;8;Optimised;2259,5;1612,6;0,714;0,0;0,0;2;0;5;0;0;0;0;0;0,0;
;;;9;Optimised;2982,7;2441,5;0,819;0,0;0,0;2;0;5;0;0;0;0;0;0,0;
;;;10;Optimised;3155,2;1788,0;0,567;0,0;0,0;2;0;5;0;0;0;0;0;0,0;
;;;1;Centered;2055,3;1538,9;0,749;0,0;0,0;3;0;5;0;0;0;0;0;0,0;
;;;2;Centered;2913,4;2160,3;0,741;0,0;0,0;3;0;5;0;0;0;0;0;0,0;
;;;3;Centered;1689,9;1284,9;0,760;0,0;0,0;3;0;5;0;0;0;0;0;0,0;
;;;4;Centered;3190,6;2422,2;0,759;0,0;0,0;3;0;5;0;0;0;0;0;0,0;
;;;5;Centered;2759,2;2301,5;0,834;0,0;0,0;3;0;5;0;0;0;0;0;0,0;
;;;6;Centered;3994,4;3239,4;0,811;0,0;0,0;3;0;5;0;0;0;0;0;0,0;
;;;7;Centered;3228,0;2344,8;0,726;0,0;0,0;3;0;5;0;0;0;0;0;0,0;
;;;8;Centered;2902,4;2319,1;0,799;0,0;0,0;3;0;5;0;0;0;0;0;0,0;
;;;9;Centered;1859,3;1473,4;0,792;0,0;0,0;3;0;5;0;0;0;0;0;0,0;
;;;10;Centered;2876,4;2331,7;0,811;0,0;0,0;3;0;5;0;0;0;0;0;0,0;
;;;1;Optimised;2636,8;2120,4;0,804;0,0;0,0;3;0;5;0;0;0;0;0;0,0;
